resolution	-3
retirement	-3
ronald	-3
security	-3
serve	-3
signs	-3
sources	-3
starting	-3
supposed	-3
takes	-3
taliban	-3
theyve	-3
thousands	-3
threat	-3
totally	-3
treatment	-3
understand	-3
unite	-3
uranium	-3
victims	-3
watch	-3
whats	-3
worker	-3
world	-3
anymore	-3
audience	-3
charlottesville	-3
classified	-3
deals	-3
factories	-3
fantastic	-3
guess	-3
happening	-3
inaudible	-3
ivanka	-3
kelly	-3
leaks	-3
mattis	-3
neonazis	-3
pipelines	-3
restrictions	-3
steel	-3
theyll	-3
account	-4
agreement	-4
americas	-4
attacks	-4
billions	-4
border	-4
bring	-4
called	-4
calling	-4
character	-4
cities	-4
citizens	-4
coalition	-4
coming	-4
commitment	-4
companies	-4
compassion	-4
competitive	-4
control	-4
council	-4
countries	-4
courage	-4
coverage	-4
current	-4
defend	-4
democracy	-4
democratic	-4
deserve	-4
didnt	-4
dignity	-4
dollars	-4
excuse	-4
foreign	-4
freedom	-4
governments	-4
happen	-4
hatred	-4
healthcare	-4
honor	-4
horrible	-4
human	-4
hussein	-4
immigration	-4
including	-4
incredible	-4
infrastructure	-4
intelligence	-4
iraqi	-4
justice	-4
laughter	-4
leaders	-4
level	-4
liberty	-4
lower	-4
marriage	-4
massive	-4
media	-4
meeting	-4
middle	-4
military	-4
millions	-4
model	-4
money	-4
murder	-4
nation	-4
nations	-4
paris	-4
peace	-4
percent	-4
person	-4
press	-4
reagan	-4
reform	-4
regime	-4
regimes	-4
regulations	-4
relief	-4
remember	-4
resolutions	-4
respect	-4
rights	-4
russia	-4
saddam	-4
senator	-4
seniors	-4
societies	-4
society	-4
story	-4
taxes	-4
terrible	-4
terror	-4
terrorist	-4
terrorists	-4
theyre	-4
tremendous	-4
trillion	-4
violence	-4
vital	-4
wages	-4
wealth	-4
weapons	-4
women	-4
workers	-4
youre	-4
accord	-4
approved	-4
beautiful	-4
dakota	-4
obamacare	-4
statement	-4
steve	-4
talking	-4
trillions	-4
